BehaviorSpace results (NetLogo 4.1.1),,,,,,,,,Number of Trail Patrollers,Number of Foragers
,0,0,,,,,,,20,0
,0,0,,,,,,,20,0
,0,0,,,,,,,20,0
,0,0,,,,,,,20,0
,0,0,,,,,,,20,0
,17,0,,,,,,,20,0
,20,0,,,,,,,20,0
,20,0,,,,,,,20,0
,20,0,,,,,,,20,0
,20,0,,,,,,,20,0
,20,0,,,,,,,20,0
,20,0,,,,,,,20,0
,20,0,,,,,,,19,0
,20,0,,,,,,,19,0
,20,0,,,,,,,19,0
,20,0,,,,,,,19,0
,20,0,,,,,,,19,0
,20,0,,,,,,,18,0
,20,0,,,,,,,18,0
,20,0,,,,,,,18,0
,20,0,,,,,,,18,0
,20,0,,,,,,,18,0
,20,0,,,,,,,18,0
,20,0,,,,,,,18,0
,20,0,,,,,,,17,0
,20,0,,,,,,,17,0
,20,0,,,,,,,17,0
,20,0,,,,,,,17,0
,20,0,,,,,,,17,0
,19,0,,,,,,,15,0
,19,0,,,,,,,15,0
,19,0,,,,,,,15,0
,19,0,,,,,,,15,0
,19,0,,,,,,,15,1
,18,0,,,,,,,15,1
,18,0,,,,,,,15,2
,18,0,,,,,,,15,2
,18,0,,,,,,,15,2
,18,0,,,,,,,15,2
,18,0,,,,,,,15,3
,18,0,,,,,,,15,3
,17,0,,,,,,,14,3
,17,0,,,,,,,14,3
,17,0,,,,,,,14,3
,17,0,,,,,,,14,3
,17,0,,,,,,,14,6
,15,0,,,,,,,13,8
,15,0,,,,,,,13,9
,15,0,,,,,,,13,9
,15,0,,,,,,,13,9
,15,1,,,,,,,12,10
,15,1,,,,,,,12,11
,15,2,,,,,,,12,11
,15,2,,,,,,,12,12
,15,2,,,,,,,12,12
,15,2,,,,,,,12,12
,15,3,,,,,,,11,12
,15,3,,,,,,,10,12
,14,3,,,,,,,10,13
,14,3,,,,,,,10,14
,14,3,,,,,,,10,14
,14,3,,,,,,,10,16
,14,6,,,,,,,9,18
,13,8,,,,,,,9,18
,13,9,,,,,,,9,18
,13,9,,,,,,,7,18
,13,9,,,,,,,7,19
,12,10,,,,,,,6,21
,12,11,,,,,,,5,22
,12,11,,,,,,,5,22
,12,12,,,,,,,5,22
,12,12,,,,,,,5,23
,12,12,,,,,,,4,23
,11,12,,,,,,,3,24
,10,12,,,,,,,3,24
,10,13,,,,,,,3,25
,10,14,,,,,,,3,26
,10,14,,,,,,,3,26
,10,16,,,,,,,3,26
,9,18,,,,,,,2,27
,9,18,,,,,,,2,27
,9,18,,,,,,,1,28
,7,18,,,,,,,1,28
,7,19,,,,,,,0,29
,6,21,,,,,,,0,32
,5,22,,,,,,,0,32
,5,22,,,,,,,0,32
,5,22,,,,,,,0,32
,5,23,,,,,,,0,32
,4,23,,,,,,,0,32
,3,24,,,,,,,0,32
,3,24,,,,,,,0,33
,3,25,,,,,,,0,34
,3,26,,,,,,,0,35
,3,26,,,,,,,0,35
,3,26,,,,,,,0,35
,2,27,,,,,,,0,35
,2,27,,,,,,,0,35
,1,28,,,,,,,0,35
,1,28,,,,,,,0,35
,0,29,,,,,,,0,35
,0,32,,,,,,,0,35
,0,32,,,,,,,0,35
,0,32,,,,,,,0,35
,0,32,,,,,,,0,35
,0,32,,,,,,,0,35
,0,32,,,,,,,0,36
,0,32,,,,,,,0,36
,0,33,,,,,,,0,36
,0,34,,,,,,,0,36
,0,35,,,,,,,0,36
,0,35,,,,,,,0,37
,0,35,,,,,,,0,37
,0,35,,,,,,,0,38
,0,35,,,,,,,0,38
,0,35,,,,,,,0,38
,0,35,,,,,,,0,38
,0,35,,,,,,,0,38
,0,35,,,,,,,0,38
,0,35,,,,,,,0,39
,0,35,,,,,,,0,40
,0,35,,,,,,,0,40
,0,35,,,,,,,0,40
,0,36,,,,,,,0,40
,0,36,,,,,,,0,40
,0,36,,,,,,,0,40
,0,36,,,,,,,0,40
,0,36,,,,,,,0,40
,0,37,,,,,,,0,41
,0,37,,,,,,,0,41
,0,38,,,,,,,0,41
,0,38,,,,,,,0,41
,0,38,,,,,,,0,42
,0,38,,,,,,,0,42
,0,38,,,,,,,0,42
,0,38,,,,,,,0,43
,0,39,,,,,,,0,43
,0,40,,,,,,,0,43
,0,40,,,,,,,0,43
,0,40,,,,,,,0,44
,0,40,,,,,,,0,44
,0,40,,,,,,,0,44
,0,40,,,,,,,0,44
,0,40,,,,,,,0,44
,0,40,,,,,,,0,44
,0,41,,,,,,,0,44
,0,41,,,,,,,0,44
,0,41,,,,,,,0,44
,0,41,,,,,,,0,44
,0,42,,,,,,,0,44
,0,42,,,,,,,0,44
,0,42,,,,,,,0,44
,0,43,,,,,,,0,45
,0,43,,,,,,,0,45
,0,43,,,,,,,0,45
,0,43,,,,,,,0,45
,0,44,,,,,,,0,45
,0,44,,,,,,,0,46
,0,44,,,,,,,0,47
,0,44,,,,,,,0,47
,0,44,,,,,,,0,47
,0,44,,,,,,,0,47
,0,44,,,,,,,0,47
