BehaviorSpace results (NetLogo 4.1.1),,,,,,,,,,Numbr of Inactive Ants,Number of Foragers
16-loop_import_nest_midden_trail_inactive_interact_foragers_thod_plots.nlogo,,,,,,,,,,96,0
experiment,,,,,,,,,,96,0
03/04/2011 16:13:30:921 -0700,,,,,,,,,,96,0
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,96,0
,76,20,,,,,,,,69,27
,76,20,,,,,,,,69,27
,76,20,,,,,,,,67,29
,76,20,,,,,,,,67,29
,74,22,,,,,,,,66,30
,73,23,,,,,,,,66,30
,72,24,,,,,,,,66,30
,72,24,,,,,,,,66,30
,72,24,,,,,,,,66,30
,72,24,,,,,,,,65,31
,72,24,,,,,,,,65,31
,72,24,,,,,,,,64,32
,71,25,,,,,,,,64,32
,70,26,,,,,,,,64,32
,70,26,,,,,,,,64,32
,70,26,,,,,,,,63,33
,70,26,,,,,,,,62,34
,69,27,,,,,,,,61,35
,69,27,,,,,,,,61,35
,67,29,,,,,,,,61,35
,67,29,,,,,,,,60,36
,66,30,,,,,,,,60,36
,66,30,,,,,,,,60,36
,66,30,,,,,,,,60,36
,66,30,,,,,,,,60,36
,66,30,,,,,,,,60,36
,65,31,,,,,,,,59,37
,65,31,,,,,,,,59,37
,64,32,,,,,,,,59,37
,64,32,,,,,,,,59,37
,64,32,,,,,,,,59,37
,64,32,,,,,,,,59,37
,63,33,,,,,,,,59,37
,62,34,,,,,,,,59,37
,61,35,,,,,,,,59,37
,61,35,,,,,,,,59,37
,61,35,,,,,,,,59,37
,60,36,,,,,,,,59,37
,60,36,,,,,,,,59,37
,60,36,,,,,,,,59,37
,60,36,,,,,,,,58,38
,60,36,,,,,,,,58,38
,60,36,,,,,,,,58,38
,59,37,,,,,,,,57,39
,59,37,,,,,,,,57,39
,59,37,,,,,,,,57,39
,59,37,,,,,,,,57,39
,59,37,,,,,,,,57,39
,59,37,,,,,,,,56,40
,59,37,,,,,,,,56,40
,59,37,,,,,,,,55,41
,59,37,,,,,,,,55,41
,59,37,,,,,,,,55,41
,59,37,,,,,,,,55,41
,59,37,,,,,,,,55,41
,59,37,,,,,,,,55,41
,59,37,,,,,,,,55,41
,58,38,,,,,,,,54,42
,58,38,,,,,,,,53,43
,58,38,,,,,,,,53,43
,57,39,,,,,,,,53,43
,57,39,,,,,,,,53,43
,57,39,,,,,,,,53,43
,57,39,,,,,,,,53,43
,57,39,,,,,,,,52,44
,56,40,,,,,,,,52,44
,56,40,,,,,,,,51,45
,55,41,,,,,,,,51,45
,55,41,,,,,,,,51,45
,55,41,,,,,,,,51,45
,55,41,,,,,,,,51,45
,55,41,,,,,,,,51,45
,55,41,,,,,,,,50,46
,55,41,,,,,,,,50,46
,54,42,,,,,,,,50,46
,53,43,,,,,,,,50,46
,53,43,,,,,,,,50,46
,53,43,,,,,,,,49,47
,53,43,,,,,,,,49,47
,53,43,,,,,,,,49,47
,53,43,,,,,,,,49,47
,52,44,,,,,,,,49,47
,52,44,,,,,,,,49,47
,51,45,,,,,,,,49,47
,51,45,,,,,,,,49,47
,51,45,,,,,,,,49,47
,51,45,,,,,,,,49,47
,51,45,,,,,,,,49,47
,51,45,,,,,,,,49,47
,50,46,,,,,,,,49,47
,50,46,,,,,,,,49,47
,50,46,,,,,,,,49,47
,50,46,,,,,,,,49,47
,50,46,,,,,,,,49,47
,49,47,,,,,,,,48,48
,49,47,,,,,,,,48,48
,49,47,,,,,,,,48,48
,49,47,,,,,,,,48,48
,49,47,,,,,,,,48,48
,49,47,,,,,,,,47,49
,49,47,,,,,,,,47,49
,49,47,,,,,,,,47,49
,49,47,,,,,,,,46,50
,49,47,,,,,,,,46,50
,49,47,,,,,,,,46,50
,49,47,,,,,,,,46,50
,49,47,,,,,,,,46,50
,49,47,,,,,,,,46,50
,49,47,,,,,,,,46,50
,49,47,,,,,,,,46,50
,49,47,,,,,,,,46,50
,48,48,,,,,,,,46,50
,48,48,,,,,,,,46,50
,48,48,,,,,,,,45,51
,48,48,,,,,,,,45,51
,48,48,,,,,,,,45,51
,47,49,,,,,,,,45,51
,47,49,,,,,,,,45,51
,47,49,,,,,,,,45,51
,46,50,,,,,,,,45,51
,46,50,,,,,,,,45,51
,46,50,,,,,,,,45,51
,46,50,,,,,,,,45,51
,46,50,,,,,,,,45,51
,46,50,,,,,,,,45,51
,46,50,,,,,,,,45,51
,46,50,,,,,,,,45,51
,46,50,,,,,,,,45,51
,46,50,,,,,,,,45,51
,46,50,,,,,,,,44,52
,45,51,,,,,,,,44,52
,45,51,,,,,,,,44,52
,45,51,,,,,,,,44,52
,45,51,,,,,,,,44,52
,45,51,,,,,,,,44,52
,45,51,,,,,,,,44,52
,45,51,,,,,,,,43,53
,45,51,,,,,,,,43,53
,45,51,,,,,,,,43,53
,45,51,,,,,,,,43,53
,45,51,,,,,,,,43,53
,45,51,,,,,,,,43,53
,45,51,,,,,,,,43,53
,45,51,,,,,,,,43,53
,45,51,,,,,,,,43,53
,45,51,,,,,,,,42,54
,44,52,,,,,,,,42,54
,44,52,,,,,,,,42,54
,44,52,,,,,,,,42,54
,44,52,,,,,,,,42,54
,44,52,,,,,,,,42,54
,44,52,,,,,,,,42,54
,44,52,,,,,,,,42,54
,43,53,,,,,,,,42,54
